parcel,address,2021_land,2021_building,2021_total,2020_land,2020_building,2020_total,lat,lng
406 G024001,152 Maine Ave,72200.0,263900.0,336100.0,73200.0,124300.0,197500.0,43.69926,-70.27889
406 G025001,170 Maine Ave,67100.0,265300.0,332400.0,67100.0,117900.0,185000.0,43.69926,-70.27889
406 G026001,166 Maine Ave,64500.0,226900.0,291400.0,64500.0,98300.0,162800.0,43.69926,-70.27889
406 G028001,160 Maine Ave,64500.0,300700.0,365200.0,64500.0,121500.0,186000.0,43.69926,-70.27889
406 G030001,156 Maine Ave,64500.0,263800.0,328300.0,64500.0,110100.0,174600.0,43.69926,-70.27889
406 H001001,173 Maine Ave,63600.0,200500.0,264100.0,63600.0,77100.0,140700.0,43.69896,-70.27801
406 H005001,167 Maine Ave,64800.0,246400.0,311200.0,64800.0,87200.0,152000.0,43.69896,-70.27801
406 H007001,163 Maine Ave,63300.0,307900.0,371200.0,63300.0,128100.0,191400.0,43.69896,-70.27801
406 H009001,157 Maine Ave,65400.0,242300.0,307700.0,65400.0,100400.0,165800.0,43.69896,-70.27801
406 H011001,151 Maine Ave,65700.0,284400.0,350100.0,65700.0,119600.0,185300.0,43.69896,-70.27801
407 E024001,75 Maine Ave,66900.0,349000.0,415900.0,66900.0,128900.0,195800.0,43.69654,-70.28156
407 H025001,143 Maine Ave,76600.0,272700.0,349300.0,83600.0,118400.0,202000.0,43.69896,-70.27801
407 H031001,85 Maine Ave,67500.0,290000.0,357500.0,67500.0,142400.0,209900.0,43.69896,-70.27801
407 H033001,89 Maine Ave,64500.0,240200.0,304700.0,64500.0,104300.0,168800.0,43.69896,-70.27801
407 H035001,95 Maine Ave,69000.0,304500.0,373500.0,69000.0,103200.0,172200.0,43.69896,-70.27801
407 H037001,99 Maine Ave,72400.0,224100.0,296500.0,73600.0,100800.0,174400.0,43.69896,-70.27801
407 H041001,107 Maine Ave,68000.0,273200.0,341200.0,68000.0,123700.0,191700.0,43.69896,-70.27801
407 H044001,111 Maine Ave,69100.0,258900.0,328000.0,69100.0,108400.0,177500.0,43.69896,-70.27801
407 H045001,121 Maine Ave,73300.0,266000.0,339300.0,75700.0,106800.0,182500.0,43.69896,-70.27801
407 H049001,123 Maine Ave,68300.0,278000.0,346300.0,68300.0,151300.0,219600.0,43.69896,-70.27801
407 H051001,135 Maine Ave,74400.0,271700.0,346100.0,78400.0,116100.0,194500.0,43.69896,-70.27801
407 J001001,68 Maine Ave,72000.0,229400.0,301400.0,72800.0,109100.0,181900.0,43.69688,-70.28195
407 J003001,78 Maine Ave,67100.0,218000.0,285100.0,67100.0,76000.0,143100.0,43.69688,-70.28195
407 J005001,86 Maine Ave,72200.0,314700.0,386900.0,73200.0,121800.0,195000.0,43.69688,-70.28195
407 J009001,92 Maine Ave,66300.0,255200.0,321500.0,66300.0,72900.0,139200.0,43.69688,-70.28195
407 K005001,114 Maine Ave,69800.0,231500.0,301300.0,69800.0,114500.0,184300.0,43.69926,-70.27889
407 K007001,118 Maine Ave,69800.0,280000.0,349800.0,69800.0,115300.0,185100.0,43.69926,-70.27889
407 K009001,124 Maine Ave,64500.0,214200.0,278700.0,64500.0,94600.0,159100.0,43.69926,-70.27889
407 K011001,128 Maine Ave,72200.0,231300.0,303500.0,73200.0,113600.0,186800.0,43.69926,-70.27889
407 K015001,138 Maine Ave,64500.0,297700.0,362200.0,64500.0,121500.0,186000.0,43.69926,-70.27889
407 K017001,142 Maine Ave,69800.0,312700.0,382500.0,69800.0,142000.0,211800.0,43.69926,-70.27889
407 K019001,146 Maine Ave,72200.0,216200.0,288400.0,73200.0,92600.0,165800.0,43.69926,-70.27889
408 A005001,50 Maine Ave,66300.0,259700.0,326000.0,66300.0,104400.0,170700.0,43.72546,-70.29234
408 A007001,48 Maine Ave,69800.0,393100.0,462900.0,69800.0,108800.0,178600.0,43.72546,-70.29234
408 A010001,46 Maine Ave,64500.0,312000.0,376500.0,64500.0,133900.0,198400.0,43.72546,-70.29234
408 A012001,42 Maine Ave,69800.0,409600.0,479400.0,69800.0,178000.0,247800.0,43.72546,-70.29234
408 A014001,36 Maine Ave,66900.0,302200.0,369100.0,67100.0,136800.0,203900.0,43.72546,-70.29234
408 A018001,28 Maine Ave,64500.0,258300.0,322800.0,64500.0,108500.0,173000.0,43.72546,-70.29234
408 A020001,22 Maine Ave,64500.0,348900.0,413400.0,64500.0,137400.0,201900.0,43.695759,-70.283655
408 A022001,18 Maine Ave,64500.0,332700.0,397200.0,64500.0,127500.0,192000.0,43.72546,-70.29234
408 A024001,6 Maine Ave,65400.0,272700.0,338100.0,65400.0,108500.0,173900.0,43.72546,-70.29234
408 B001001,59 Maine Ave,64500.0,233100.0,297600.0,64500.0,102800.0,167300.0,43.69654,-70.28156
408 B006001,47 Maine Ave,64500.0,264800.0,329300.0,64500.0,117500.0,182000.0,43.69654,-70.28156
408 B008001,43 Maine Ave,64500.0,291500.0,356000.0,64500.0,123900.0,188400.0,43.69654,-70.28156
408 B010001,37 Maine Ave,64500.0,263500.0,328000.0,64500.0,96200.0,160700.0,43.69654,-70.28156
408 B012001,33 Maine Ave,64500.0,228100.0,292600.0,64500.0,88900.0,153400.0,43.69654,-70.28156
408 B014001,29 Maine Ave,64500.0,296100.0,360600.0,64500.0,125400.0,189900.0,43.69654,-70.28156
408 B018001,19 Maine Ave,64500.0,371800.0,436300.0,64500.0,164800.0,229300.0,43.661171,-70.181202
408 B020001,15 Maine Ave,71900.0,258700.0,330600.0,72500.0,91100.0,163600.0,43.69654,-70.28156
408 B026001,65 Maine Ave,64500.0,301600.0,366100.0,64500.0,143300.0,207800.0,43.69654,-70.28156
409 A012001,30 Marlborough Rd,73100.0,354500.0,427600.0,73200.0,165200.0,238400.0,43.693992,-70.276709
409 A020001,48 Marlborough Rd,67100.0,260000.0,327100.0,67100.0,117700.0,184800.0,43.694364,-70.277048
409 A022001,54 Marlborough Rd,67100.0,289200.0,356300.0,67100.0,129100.0,196200.0,43.694532,-70.2772
409 A023001,60 Marlborough Rd,70100.0,427000.0,497100.0,70100.0,189800.0,259900.0,43.694706,-70.277373
409 B008001,66 Marlborough Rd,72300.0,315800.0,388100.0,73400.0,146100.0,219500.0,43.694954,-70.277585
409 C001001,15 Marlborough Rd,72100.0,252200.0,324300.0,73000.0,108100.0,181100.0,43.693812,-70.275867
409 D001001,37 Marlborough Rd,67600.0,234100.0,301700.0,67600.0,90200.0,157800.0,43.694301,-70.276405
409 D003001,41 Marlborough Rd,65500.0,249400.0,314900.0,65500.0,118900.0,184400.0,43.69446,-70.276498
409 D007001,47 Marlborough Rd,67100.0,281900.0,349000.0,67100.0,146100.0,213200.0,43.694626,-70.276655
409 D009001,57 Marlborough Rd,67100.0,281800.0,348900.0,67100.0,149300.0,216400.0,43.694794,-70.276807
409 D011001,59 Marlborough Rd,67100.0,299900.0,367000.0,67100.0,163000.0,230100.0,43.694958,-70.276943
